schids,rural,clsize,computer,ctyeduz,njobsatis,nschsatis
1,1,30,120,2.3690721988678,2,2
2,1,48,54,2.3690721988678,0,0
9,1,60,240,2.00781011581421,2,5
12,4,46,50,2.00781011581421,4,3
14,3,50,100,0.460518181324005,1,4
17,1,55,400,1.05353319644928,3,4
18,3,25,85,1.05353319644928,3,2
20,2,50,329,1.05353319644928,7,8
21,2,64,40,0.0992562025785446,2,6
22,4,40,40,0.0992562025785446,0,3
23,2,56,70,0.0992562025785446,3,7
25,1,30,70,1.66699695587158,5,8
27,1,40,80,1.66699695587158,3,2
28,1,35,138,1.66699695587158,3,4
29,1,40,150,1.56475293636322,2,1
31,2,40,130,1.56475293636322,2,2
33,1,48,434,0.964921712875366,0,2
34,2,40,160,0.964921712875366,1,0
38,2,40,402,0.32419291138649,6,6
43,1,45,137,0.767250061035156,2,1
45,2,60,256,-0.173394352197647,1,2
47,2,57,400,-0.173394352197647,3,4
53,2,50,120,-0.0643341317772865,2,6
55,3,50,100,-0.0643341317772865,3,4
56,4,51,70,-0.0643341317772865,6,6
62,3,62,200,-0.262005776166916,0,0
63,4,52,40,-0.262005776166916,1,0
67,4,55,114,1.33299994468689,4,4
69,4,55,10,0.242397740483284,3,3
72,4,47,0,0.242397740483284,2,2
75,4,65,30,-0.616451501846314,3,5
76,4,65,30,-0.616451501846314,1,6
79,3,50,4,1.1966747045517,2,0
81,4,55,30,-0.0166202839463949,0,1
83,4,50,0,-0.0166202839463949,0,1
90,1,50,368,2.32817459106445,0,3
94,3,50,200,1.46250903606415,0,0
95,3,48,56,1.46250903606415,4,5
97,3,50,20,-0.786858081817627,3,1
99,3,50,35,-0.786858081817627,4,5
100,4,40,0,-0.786858081817627,0,0
101,3,70,50,-1.30489420890808,3,0
103,2,60,0,-1.30489420890808,5,2
105,2,70,644,-0.46649369597435,3,5
107,4,60,60,-0.46649369597435,0,1
